Name,Code,Meang
CAUSE_FACTOR,6421,IMPROPER OPERATION OF POWERPLANT & POWERPLANT CONTROLS
CAUSE_FACTOR,6422,IMPROPER OPERATION OF BRAKES AND/OR FLIGHT CONTROLS
CAUSE_FACTOR,6423,IMPROPER OPERATION OF FLIGHT CONTROLS
CAUSE_FACTOR,6424,PREMATURE LIFT-OFF
CAUSE_FACTOR,6425,IMPROPER LEVEL OFF
CAUSE_FACTOR,6426,IMPROPER IFR OPERATION
CAUSE_FACTOR,6427,IMPROPER IN-FLIGHT DECISIONS OR PLANNING
CAUSE_FACTOR,6428,IMPROPER COMPENSATION FOR WIND CONDITIONS
CAUSE_FACTOR,6429,INADEQUATE PREFLIGHT PREPARATION AND/OR PLANNING
CAUSE_FACTOR,6430,INADEQUATE SUPERVISION OF FLIGHT
CAUSE_FACTOR,6431,LACK OF FAMILIARITY WITH AIRCRAFT
CAUSE_FACTOR,6432,MISMANAGEMENT OF FUEL
CAUSE_FACTOR,6433,EXERCISED POOR JUDGMENT
CAUSE_FACTOR,6434,OPERATED CARELESSLY
CAUSE_FACTOR,6435,SELECTED UNSUITABLE TERRAIN
CAUSE_FACTOR,6436,IMPROPER STARTING PROCEDURES
CAUSE_FACTOR,6437,STARTED ENGINE WITHOUT PROPER ASSISTANCE/EQUIPMENT
CAUSE_FACTOR,6438,TAXIED/PARKED WITHOUT PROPER ASSISTANCE
CAUSE_FACTOR,6439,FAILED TO ASSURE THE GEAR WAS DOWN AND LOCKED
CAUSE_FACTOR,6440,INITIATED FLIGHT IN ADVERSE WEATHER CONDITIONS
CAUSE_FACTOR,6442,FAILURE TO RELINQUISH CONTROL
CAUSE_FACTOR,6443,CONTROL INTERFERENCE
CAUSE_FACTOR,6444,SPONTANEOUS-IMPROPER ACTION
CAUSE_FACTOR,6445,"MISJUDGED DISTANCE,SPEED,AND ALTITUDE"
CAUSE_FACTOR,6446,MISJUDGED DISTANCE AND SPEED
CAUSE_FACTOR,6447,MISJUDGED DISTANCE
CAUSE_FACTOR,6448,MISJUDGED DISTANCE AND ALTITUDE
CAUSE_FACTOR,6449,MISJUDGED SPEED AND ALTITUDE
CAUSE_FACTOR,6450,MISJUDGED SPEED
CAUSE_FACTOR,6451,MISJUDGED SPEED AND CLEARANCE
CAUSE_FACTOR,6452,MISJUDGED ALTITUDE AND CLEARANCE
CAUSE_FACTOR,6453,MISJUDGED ALTITUDE
CAUSE_FACTOR,6454,MISJUDGED CLEARANCE
CAUSE_FACTOR,6455,INADEQUATE TRAINING OF STUDENT
CAUSE_FACTOR,6456,MISUNDERSTANDING OF ORDERS OR INSTRUCTIONS
CAUSE_FACTOR,6462,IMPROPER RECOVERY FROM BOUNCED LANDING
CAUSE_FACTOR,6464,INCAPACITATION
CAUSE_FACTOR,6465,PHYSICAL IMPAIRMENT
CAUSE_FACTOR,6466,SPATIAL DISORIENTATION
CAUSE_FACTOR,6467,PSYCHOLOGICAL CONDITION
CAUSE_FACTOR,6471,MISUSED OR FAILED TO USE FLAPS
CAUSE_FACTOR,6474,"LEFT AIRCRAFT UNATTENDED, ENGINE RUNNING"
CAUSE_FACTOR,6479,FAILED TO MAINTAIN DIRECTIONAL CONTROL
CAUSE_FACTOR,6480,SELECTED WRONG RUNWAY RELATIVE TO EXISTING WIND
CAUSE_FACTOR,6481,FAILED TO ABORT TAKEOFF
CAUSE_FACTOR,6482,FAILED TO INITIATE GO-AROUND
CAUSE_FACTOR,65,COPILOT
CAUSE_FACTOR,66,DUAL STUDENT
CAUSE_FACTOR,67,CHECK PILOT
CAUSE_FACTOR,68,PERSONNEL
CAUSE_FACTOR,68A,"RULES,REGULATIONS,STANDARDS PERSONNEL"
CAUSE_FACTOR,68C,FLIGHT INSTRUCTOR
CAUSE_FACTOR,68C0,INADEQUATE SUPERVISION OF FLIGHT
CAUSE_FACTOR,68C1,INADEQUATE TRAINING OF STUDENT
CAUSE_FACTOR,68D,"MAINTENANCE,SERVICING,INSPECTION"
CAUSE_FACTOR,68D0,IMPROPER MAINTENANCE (MAINTENANCE PERSONNEL)
CAUSE_FACTOR,68D1,IMPROPER MAINTENANCE (OWNER PERSONNEL)
CAUSE_FACTOR,68D2,IMPROPERLY SERVICED AIRCRAFT (GROUND CREW)
CAUSE_FACTOR,68D3,IMPROPERLY SERVICED AIRCRAFT (OWNER-PILOT)
CAUSE_FACTOR,68D4,INADEQUATE INSPECTION OF AIRCRAFT (MAINTENANCE PERSONNEL)
CAUSE_FACTOR,68D5,INADEQUATE INSPECTION OF AIRCRAFT (OWNER-PILOT)
CAUSE_FACTOR,68D6,INADEQUATE MAINTENANCE AND INSPECTION
CAUSE_FACTOR,68D8,OTHER
CAUSE_FACTOR,68D9,UNKNOWN/NOT REPORTED
CAUSE_FACTOR,68E,OPERATIONAL SUPERVISORY PERSONNEL
CAUSE_FACTOR,68E0,INADEQUATE FLIGHT TRAINING-PROCEDURES
CAUSE_FACTOR,68E1,INADEQUATE GROUND TRAINING-PROCEDURES
CAUSE_FACTOR,68E2,INADEQUATE SUPERVISION OF FLIGHT CREW
CAUSE_FACTOR,68E3,INADEQUATE SUPERVISION/TRAINING OF RAMP CREWS
CAUSE_FACTOR,68E4,"FAILURE TO PROVIDE ADEQ.DIRECTIVES,MANUAL,EQUIPMENT"
CAUSE_FACTOR,68E5,"DEFICIENCY,COMPANY MAINTAINED EQPMT,SERVICES,REGULATION"
CAUSE_FACTOR,68F,WEATHER PERSONNEL
CAUSE_FACTOR,68F0,INCORRECT WEATHER FORECAST
CAUSE_FACTOR,68F1,INADEQUATE WEATHER OBSERVATION
CAUSE_FACTOR,68F2,INCOMPLETE WEATHER REPORT
CAUSE_FACTOR,68F3,INADEQUATELY MAINTAINED FACILITIES
CAUSE_FACTOR,68F4,TRAINING DEFICIENCY
CAUSE_FACTOR,68F5,EXCESSIVE WORKLOAD
CAUSE_FACTOR,68F6,INADEQUATE/INCORRECT WEATHER BRIEFING
CAUSE_FACTOR,68F9,OTHER
CAUSE_FACTOR,68G,TRAFFIC CONTROL PERSONNEL
CAUSE_FACTOR,68G0,FAILURE OR DELAY IN INITIATING EMERGENCY PROCEDURES
CAUSE_FACTOR,68G1,FAILURE TO ADVISE OF UNSAFE WEATHER CONDITIONS
CAUSE_FACTOR,68G2,FAILURE TO ADVISE OF UNSAFE AIRPORT CONDITIONS
CAUSE_FACTOR,68G3,FAILURE TO ADVISE OF OTHER TRAFFIC
CAUSE_FACTOR,68G4,CLEARED AIRCRAFT TO WRONG RUNWAY FOR EXISTING CONDITION
CAUSE_FACTOR,68G5,ISSUED IMPROPER OR CONFLICTING INSTRUCTIONS
CAUSE_FACTOR,68G6,INADEQUATE SPACING OF AIRCRAFT
CAUSE_FACTOR,68G7,FAILURE TO PROPERLY IDENTIFY AIRCRAFT ON RADAR
CAUSE_FACTOR,68G9,OTHER
CAUSE_FACTOR,68H,AIRPORT SUPERVISORY PERSONNEL
CAUSE_FACTOR,68H0,IMPROPER MAINTENANCE-AIRPORT FACILITIES
CAUSE_FACTOR,68H1,FAILURE TO NOTIFY OF UNSAFE COND/AND OR FAILURE TO MARK OBSTRUCTION
CAUSE_FACTOR,68H2,IMPROPER/INADEQUATE SNOW REMOVAL
CAUSE_FACTOR,68H3,IMPROPER OPERATION OF FACILITIES
CAUSE_FACTOR,68H4,IMPROPER INSPECTION OF FACILITIES
CAUSE_FACTOR,68H9,OTHER
CAUSE_FACTOR,68I,AIRWAYS FACILITIES PERSONNEL
CAUSE_FACTOR,68I0,INADEQUATELY MAINTAINED AIRWAYS FACILITIES
CAUSE_FACTOR,68I1,INADEQUATELY MAINTAINED APPROACH FACILITIES
CAUSE_FACTOR,68I2,FAILURE TO ISSUE NOTAM
CAUSE_FACTOR,68I6,OTHER
CAUSE_FACTOR,68J,PRODUCTION-DESIGN-PERSONNEL
CAUSE_FACTOR,68J0,SUBSTANDARD QUALITY CONTROL
CAUSE_FACTOR,68J1,INCORRECT FACTORY INSTALLATION
CAUSE_FACTOR,68J2,POOR/INADEQUATE DESIGN
CAUSE_FACTOR,68J6,OTHER
CAUSE_FACTOR,68K,MISCELLANEOUS-PERSONNEL
CAUSE_FACTOR,68K0,PILOT OF OTHER AIRCRAFT
CAUSE_FACTOR,68K1,GROUND SIGNALMAN
CAUSE_FACTOR,68K2,SPECTATOR
CAUSE_FACTOR,68K3,GROUND CREWMAN
CAUSE_FACTOR,68K4,PASSENGER
CAUSE_FACTOR,68K5,DRIVER OF VEHICLE
CAUSE_FACTOR,68K9,OTHER
CAUSE_FACTOR,68M,THIRD PILOT
CAUSE_FACTOR,68M0,FAILURE TO COMPLY WITH COMPANY PROCEDURES
CAUSE_FACTOR,68M1,IMPROPER USE/OPERATION OF EQUIPMENT
CAUSE_FACTOR,68M2,GAVE INCORRECT INFORMATION TO OTHER CREW MEMBERS
CAUSE_FACTOR,68M3,FAILURE TO FOLLOW INSTUCTIONS
CAUSE_FACTOR,68M5,OTHER
CAUSE_FACTOR,68N,FLIGHT ENGINEER
CAUSE_FACTOR,68N0,IMPROPER USE OF EQUIPMENT
CAUSE_FACTOR,68N1,INADEQUATE PREFLIGHT
CAUSE_FACTOR,68N2,FAILURE TO COMPLY W/OR MISUNDERSTANDING OF CAPTAINS ORDERS
CAUSE_FACTOR,68N5,OTHER
CAUSE_FACTOR,68P,NAVIGATOR
CAUSE_FACTOR,68Q,RADIO OPERATOR
CAUSE_FACTOR,68R,FLIGHT PERSONNEL
CAUSE_FACTOR,68R0,FLIGHT ATTENDANT
CAUSE_FACTOR,68R5,OTHER
CAUSE_FACTOR,68S,DISPATCHING (AIR CARRIER ONLY)
CAUSE_FACTOR,68S0,DISPATCHED AIRCRAFT IMPROPERLY EQUIPPED FOR FLIGHT
CAUSE_FACTOR,68S1,FAILURE TO COMPLY WITH PROPER DISPATCHING PROCEDURES
CAUSE_FACTOR,68S2,DISREGARD OF ADVERSE WEATHER CONDITIONS
CAUSE_FACTOR,68S3,CLEARED FLIGHT WITH INADEQUATE FACILITIES AT DESTINATION
CAUSE_FACTOR,68S4,DISPATCHED FLIGHT OVERWEIGHT/IMPROPER CENTER OF GRAVITY
CAUSE_FACTOR,68S5,FAILURE TO KEEP FLIGHT PROPERLY ADVISED
CAUSE_FACTOR,68S8,OTHER
CAUSE_FACTOR,70,AIRFRAME
CAUSE_FACTOR,70A,WINGS
CAUSE_FACTOR,70AA,SPARS
CAUSE_FACTOR,70AB,"RIBS,STRINGER,CAP STRIPS"
CAUSE_FACTOR,70AC,"WING ATTACHMENT FITTINGS,BOLTS"
CAUSE_FACTOR,70AD,"BRACING WIRES,STRUTS"
CAUSE_FACTOR,70AE,SKIN AND ATTACHMENTS
CAUSE_FACTOR,70AF,FAIRINGS
CAUSE_FACTOR,70AG,WINGTIPS
CAUSE_FACTOR,70AH,WHEEL WELL DOORS
CAUSE_FACTOR,70AI,"NACELLES,PODS,PYLONS"
CAUSE_FACTOR,70AJ,INSPECTION DOOR
CAUSE_FACTOR,70AY,OTHER
CAUSE_FACTOR,70B,FUSELAGE
CAUSE_FACTOR,70BA,BULKHEADS
CAUSE_FACTOR,70BB,FLOOR STRUCTURE
CAUSE_FACTOR,70BC,LONGERON
CAUSE_FACTOR,70BD,SKIN AND ATTACHMENTS
CAUSE_FACTOR,70BE,STRINGERS
CAUSE_FACTOR,70BF,"DOORS,DOOR FRAMES"
CAUSE_FACTOR,70BG,FAIRINGS
CAUSE_FACTOR,70BH,"WINDSHIELDS,WINDOWS,CANOPIES"
CAUSE_FACTOR,70BI,SEATS
CAUSE_FACTOR,70BJ,WHEEL WELL DOORS
CAUSE_FACTOR,70BY,OTHER
CAUSE_FACTOR,70C,LANDING GEAR
CAUSE_FACTOR,70CA,"MAIN GEAR-SHOCK ABSORBING ASSY,STRUTS,ATTACHMENTS,ETC."
CAUSE_FACTOR,70CB,NORMAL RETRACTION/EXTENSION ASSEMBLY
CAUSE_FACTOR,70CC,EMERGENCY/EXTENSION ASSEMBLY
CAUSE_FACTOR,70CD,TAILWHEEL ASSEMBLIES
CAUSE_FACTOR,70CE,NOSEWHEEL ASSEMBLIES
CAUSE_FACTOR,70CF,"WHEELS,TIRES,AXLES"
CAUSE_FACTOR,70CG,SKI ASSEMBLIES
CAUSE_FACTOR,70CH,FLOAT ASSEMBLIES
CAUSE_FACTOR,70CI,SKID ASSEMBLY
CAUSE_FACTOR,70CJ,BRAKING SYSTEM (NORMAL SYSTEM)
CAUSE_FACTOR,70CK,BRAKING SYSTEM (EMERGENCY SYSTEM)
CAUSE_FACTOR,70CL,LANDING GEAR WARNING AND INDICATING COMPONENTS
CAUSE_FACTOR,70CM,GEAR LOCKING MECHANISM
CAUSE_FACTOR,70CN,"SWITCHES,LEVERS,CRANKING MECHANISM,ETC."
CAUSE_FACTOR,70CP,NOSEWHEEL STEERING
CAUSE_FACTOR,70CY,OTHER
CAUSE_FACTOR,70D,FLIGHT CONTROL SURFACES
CAUSE_FACTOR,70D0,"ELEVATOR ASSEMBLY,ATTACHMENTS"
CAUSE_FACTOR,70D1,"RUDDER SURFACES,ATTACHMENTS"
CAUSE_FACTOR,70D2,"AILERON SURFACES,ATTACHMENTS"
CAUSE_FACTOR,70D3,"HORIZONTAL STABILIZER, ATTACHMENTS"
CAUSE_FACTOR,70D4,"VERTICAL STABILIZER,ATTACHMENTS"
CAUSE_FACTOR,70D5,FLAP ASSEMBLIES
CAUSE_FACTOR,70D6,"SPOILERS AND SLOTS-LEADING EDGE FLAPS,SPEED BRAKES"
CAUSE_FACTOR,70D9,OTHER
CAUSE_FACTOR,74,POWERPLANT
CAUSE_FACTOR,740,CONSTANT SPEED DRIVE
CAUSE_FACTOR,740A,INPUT/OUTPUT RACE
CAUSE_FACTOR,740B,INPUT/OUTPUT PISTON
CAUSE_FACTOR,740C,INPUT/OUTPUT-OTHER
CAUSE_FACTOR,740D,OVERSPEED VALVE
CAUSE_FACTOR,740E,OVERSPEED VALVE FLYWEIGHTS
CAUSE_FACTOR,740F,OVERSPEED VALVE-OTHER
CAUSE_FACTOR,740G,GOVERNOR VALVE
CAUSE_FACTOR,740H,GOVERNOR VALVE FLYWEIGHT
CAUSE_FACTOR,740I,GOVERNOR VALVE-OTHER
CAUSE_FACTOR,740Y,OTHER
CAUSE_FACTOR,741,POWER LEVER
CAUSE_FACTOR,7410,PUSH-PULL ROD
CAUSE_FACTOR,7411,BELLCRANK
CAUSE_FACTOR,7412,PULLEYS
CAUSE_FACTOR,7413,CABLE
CAUSE_FACTOR,7414,TORQUE BOX
CAUSE_FACTOR,7416,OTHER
CAUSE_FACTOR,742,PROPELLER LEVER
CAUSE_FACTOR,7420,PUSH-PULL ROD
CAUSE_FACTOR,7421,BELLCRANK
CAUSE_FACTOR,7422,PULLEY
CAUSE_FACTOR,7423,CABLE
CAUSE_FACTOR,7425,OTHER
CAUSE_FACTOR,743,REVERSE THRUST LEVER
CAUSE_FACTOR,7430,PUSH-PULL ROD
CAUSE_FACTOR,7431,BELLCRANK
CAUSE_FACTOR,7432,PULLEY
CAUSE_FACTOR,7433,CABLE
CAUSE_FACTOR,7434,TORQUE BOX
CAUSE_FACTOR,7436,OTHER
CAUSE_FACTOR,744,ENGINE INDICATING EQUIPMENT
CAUSE_FACTOR,7440,TACHOMETER
CAUSE_FACTOR,7441,OIL PRESSURE
CAUSE_FACTOR,7442,OIL TEMPERATURE
CAUSE_FACTOR,7443,ENGINE PRESSURE RATIO
CAUSE_FACTOR,7444,TURBINE INLET TEMPERATURE
CAUSE_FACTOR,7445,EXHAUST GAS TEMPERATURE
CAUSE_FACTOR,7447,OTHER
CAUSE_FACTOR,745,ENGINE INSTALLATION
CAUSE_FACTOR,7450,SHOCK ABSORBERS
CAUSE_FACTOR,7451,SUSPENSION MOUNTS
CAUSE_FACTOR,7452,FIRE SHIELD
CAUSE_FACTOR,7456,OTHER
CAUSE_FACTOR,74A,ENGINE STRUCTURE
CAUSE_FACTOR,74AA,CRANKCASE
CAUSE_FACTOR,74AB,CRANKSHAFT
CAUSE_FACTOR,74AC,MASTER AND CONNECTING RODS
CAUSE_FACTOR,74AD,CYLINDER ASSEMBLY
CAUSE_FACTOR,74AE,"PISTON,PISTON RINGS"
CAUSE_FACTOR,74AF,VALVE ASSEMBLIES
CAUSE_FACTOR,74AG,"BLOWER,IMPELLER ASSEMBLY"
CAUSE_FACTOR,74AH,MOUNT AND VIBRATION ISOLATORS
CAUSE_FACTOR,74AY,OTHER
CAUSE_FACTOR,74B,IGNITION SYSTEM
CAUSE_FACTOR,74BA,MAGNETOS
CAUSE_FACTOR,74BB,DISTRIBUTOR
CAUSE_FACTOR,74BC,SPARK PLUG
CAUSE_FACTOR,74BD,COILS
CAUSE_FACTOR,74BE,LOW TENSION WIRING
CAUSE_FACTOR,74BF,HIGH TENSION WIRING
CAUSE_FACTOR,74BG,"IGNITION HARNESS,SHIELDING"
CAUSE_FACTOR,74BH,SWITCHES
CAUSE_FACTOR,74BI,LEADS
CAUSE_FACTOR,74BY,OTHER
CAUSE_FACTOR,74C,FUEL SYSTEM
CAUSE_FACTOR,74CA,TANKS
CAUSE_FACTOR,74CB,LINES AND FITTINGS
CAUSE_FACTOR,74CC,SELECTOR VALVES
CAUSE_FACTOR,74CD,CROSSFEED VALVES
CAUSE_FACTOR,74CE,"FILTERS,STRAINERS,SCREENS"
CAUSE_FACTOR,74CF,PRIMING SYSTEM
CAUSE_FACTOR,74CG,CARBURETOR
CAUSE_FACTOR,74CH,PUMPS
CAUSE_FACTOR,74CI,FUEL INJECTION SYSTEM
CAUSE_FACTOR,74CJ,"VENTS,DRAINS,TANK CAPS"
CAUSE_FACTOR,74CK,DUMP VALVES
CAUSE_FACTOR,74CL,RAM AIR ASSEMBLY
CAUSE_FACTOR,74CM,OIL DILUTION SYSTEM
CAUSE_FACTOR,74CY,OTHER
CAUSE_FACTOR,74D,LUBRICATING SYSTEM
CAUSE_FACTOR,74DA,TANKS
CAUSE_FACTOR,74DB,"LINES,HOSES,FITTING"
CAUSE_FACTOR,74DC,VALVES
CAUSE_FACTOR,74DD,"FILTERS,SCREEN"
CAUSE_FACTOR,74DE,PUMP-PRESSURE
CAUSE_FACTOR,74DF,PUMPS-SCAVENGER
CAUSE_FACTOR,74DG,OIL COOLERS
CAUSE_FACTOR,74DH,MAGNETIC PLUGS
CAUSE_FACTOR,74DI,SEALS AND GASKETS
CAUSE_FACTOR,74DJ,REGULATORS
CAUSE_FACTOR,74DY,OTHER
CAUSE_FACTOR,74E,COOLING SYSTEM
CAUSE_FACTOR,74E0,COWLING
CAUSE_FACTOR,74E1,BAFFLES
CAUSE_FACTOR,74E2,FINS
CAUSE_FACTOR,74E3,RADIATORS
CAUSE_FACTOR,74E4,PUMPS
CAUSE_FACTOR,74E5,JACKETS
CAUSE_FACTOR,74E9,OTHER
CAUSE_FACTOR,74F,PROPELLER AND ACCESSORIES
CAUSE_FACTOR,74FA,BLADES
CAUSE_FACTOR,74FB,HUBS
CAUSE_FACTOR,74FC,ELECTRIC PITCH CONTROL MECHANISM
CAUSE_FACTOR,74FD,HYDRAULIC PITCH CONTROL MECHANISM
CAUSE_FACTOR,74FE,COUNTERWEIGHT
CAUSE_FACTOR,74FF,"SPINNERS,DOMES"
CAUSE_FACTOR,74FG,GOVERNORS
CAUSE_FACTOR,74FH,SYNCHRONIZATION MECHANISM
CAUSE_FACTOR,74FI,BLADE RETENTION MECHANISM
CAUSE_FACTOR,74FJ,"METAL CAP,BLADE LEADING EDGE"
CAUSE_FACTOR,74FK,SAFETY CLIP
CAUSE_FACTOR,74FL,PLANETARY GEAR
CAUSE_FACTOR,74FM,SLIP RING
CAUSE_FACTOR,74FY,OTHER
CAUSE_FACTOR,74G,EXHAUST SYSTEM
CAUSE_FACTOR,74G0,MANIFOLDS
CAUSE_FACTOR,74G1,MUFFLERS
CAUSE_FACTOR,74G2,AUGMENTOR TUBES
CAUSE_FACTOR,74G3,GASKET
CAUSE_FACTOR,74G4,CLAMPS
CAUSE_FACTOR,74G5,STACKS
CAUSE_FACTOR,74G6,BAFFLES
CAUSE_FACTOR,74G7,END PLATES
CAUSE_FACTOR,74G8,EXTERNAL SUPERCHARGER
CAUSE_FACTOR,74G9,OTHER
CAUSE_FACTOR,74H,ENGINE ACCESSORIES
CAUSE_FACTOR,74HA,VACUUM PUMPS
CAUSE_FACTOR,74HB,GENERATORS
CAUSE_FACTOR,74HC,HYDRAULIC PUMPS
CAUSE_FACTOR,74HD,ELECTRIC PUMPS
CAUSE_FACTOR,74HE,COWL FLAP ACTUATING ASSEMBLY
CAUSE_FACTOR,74HF,OIL COOLER ACTUATING ASSEMBLY
CAUSE_FACTOR,74HG,"FEATHERING MOTORS,PUMPS"
CAUSE_FACTOR,74HH,STARTERS
CAUSE_FACTOR,74HY,OTHER
CAUSE_FACTOR,74I,ENGINE CONTROLS
CAUSE_FACTOR,74I0,THROTTLE-POWER LEVER ASSEMBLIES
CAUSE_FACTOR,74I1,MIXTURE CONTROL ASSEMBLIES
CAUSE_FACTOR,74I2,FUEL INJECTION CONTROL
CAUSE_FACTOR,74I3,"INDUCTION AIR,PREHEAT CONTROLS"
CAUSE_FACTOR,74I4,OIL COOLER CONTROLS
CAUSE_FACTOR,74I5,PROPELLER GOVERNOR CONTROLS
CAUSE_FACTOR,74I6,COWL FLAP CONTROLS
CAUSE_FACTOR,74I9,OTHER
CAUSE_FACTOR,74J,POWERPLANT-INSTRUMENTS
CAUSE_FACTOR,74J0,POWER INDICATORS
CAUSE_FACTOR,74J1,FUEL PRESSURE GAUGE
CAUSE_FACTOR,74J2,FUEL QUANTITY GAUGE
